title,artist,year,spotify_url
Stronger (What Doesn't Kill You),Kelly Clarkson,2011,https://open.spotify.com/track/1nInOsHbtotAmEOQhtvnzP
Lonely,Akon,2007,https://open.spotify.com/track/4mNGNMcsoMS6F9SGycmHWM
Bohemian Like You,The Dandy Warhols,2000,https://open.spotify.com/track/0yEhNqCwEfy8LHUmnZoHpP
Stay With Me,Sam Smith,2015,https://open.spotify.com/track/62NVyyEBiRxGae3SeB97nl
La La La,"Naughty Boy, Sam Smith",2015,https://open.spotify.com/track/6cdS2Q3WZs8w1OWqnBNO5w
Closer,"The Chainsmokers, Halsey",2016,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
Waiting On the World to Change,John Mayer,2006,https://open.spotify.com/track/5imShWWzwqfAJ9gXFpGAQh
Love Me Again,John Newman,2013,https://open.spotify.com/track/57PjISfyOyDcvTPipz16nf
You Get What You Give,New Radicals,1998,https://open.spotify.com/track/32lF1rsInDTdK6Av3KdfaY
Good Riddance (Time of Your Life),Green Day,1997,https://open.spotify.com/track/6ORqU0bHbVCRjXm9AjyHyZ
Pretty Fly (For A White Guy),The Offspring,2005,https://open.spotify.com/track/46sWNhwTkjgpnL7QWt7Fr2
Bitter Sweet Symphony,The Verve,1997,https://open.spotify.com/track/5yEPxDjbbzUzyauGtnmVEC
Baby Got Back,Sir Mix-A-Lot,1992,https://open.spotify.com/track/7MCNnnmwm7TXMh7xyNGohi
Kryptonite,3 Doors Down,2007,https://open.spotify.com/track/3bbUkaQYGQHkx1TJi7gPSL
Temperature,Sean Paul,2005,https://open.spotify.com/track/0k2GOhqsrxDTAbFFSdNJjT
Wherever You Will Go,The Calling,2011,https://open.spotify.com/track/37qI0mchgzUSeUhPiwUWPY
Don't Cha,"The Pussycat Dolls, Busta Rhymes",2005,https://open.spotify.com/track/24kGngQeXHt0uhffKpq0zj
"Pop, Lock & Drop It",Huey,2006,https://open.spotify.com/track/6vs9xToxh23nXF8sucqnfP
Down,"Jay Sean, Lil Wayne",2009,https://open.spotify.com/track/6cmm1LMvZdB5zsCwX5BjqE
Crank That (Soulja Boy),Soulja Boy,2007,https://open.spotify.com/track/46qtEi9qJOXxmY0qel1wpN
Holiday / Boulevard of Broken Dreams,Green Day,2004,https://open.spotify.com/track/0MsrWnxQZxPAcov7c74sSo
American Idiot,Green Day,2004,https://open.spotify.com/track/6nTiIhLmQ3FWhvrGafw2zj
Since U Been Gone,Kelly Clarkson,2004,https://open.spotify.com/track/3xrn9i8zhNZsTtcoWgQEAd
Let's Get It Started - Spike Mix,Black Eyed Peas,2004,https://open.spotify.com/track/6Ct1AsE9oTWUg1rmvIWJKM
