title,artist,year,spotify_url
I'm an Albatraoz,"AronChupa, Little Sis Nora",2014,https://open.spotify.com/track/5MhsZlmKJG6X5kTHkdwC4B
Out Of Time,Baker,2024,https://open.spotify.com/track/2Vm34dJv46vI2PJyNIoVHO
Brave,Sara Bareilles,2013,https://open.spotify.com/track/6Uy6K3KdmUdAfelUp0SeXn
It Girl,Jason Derulo,2011,https://open.spotify.com/track/4fINc8dnfcz7AdhFYVA4i7
FEFE,"6ix9ine, Nicki Minaj, Murda Beatz",2018,https://open.spotify.com/track/2l8nEO0vsTRCRnGqQty6qx
Little Bit of Love,Tom Grennan,2021,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
Begin Again,Taylor Swift,2012,https://open.spotify.com/track/1yG491M3fRfowMdGN5pey4
I Will Wait,Mumford & Sons,2012,https://open.spotify.com/track/2JHBMVs8E7bJJBLkXpKgHn
Hard to Beat,Hard-Fi,2005,https://open.spotify.com/track/5PZK7nZBsKjSkXDszKrJ1W
Cool Girl,Tove Lo,2016,https://open.spotify.com/track/3tJ4y2Zqx6gM9xOAuFfsSF
I Don't Care (with Justin Bieber),"Ed Sheeran & Justin Bieber, Justin Bieber",2019,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
She Will Be Loved,Maroon 5,2002,https://open.spotify.com/track/7sapKrjDij2fpDVj0GxP66
Love The Way You Lie,"Eminem, Rihanna",2010,https://open.spotify.com/track/15JINEqzVMv3SvJTAXAKED
Paint It Black,The Rolling Stones,2004,https://open.spotify.com/track/78Az0Z1vNJgqv9QSB0ULLV
Remember That Night?,Sara Kays,2021,https://open.spotify.com/track/1dkCwGJkL6acpybploriS6
Heathens,Twenty One Pilots,2016,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
Right There,"Nicole Scherzinger, 50 Cent",2011,https://open.spotify.com/track/6ZKOTsLgLGiF6hLVm4W4D2
Shirt,SZA,2022,https://open.spotify.com/track/2wSTnntOPRi7aQneobFtU4
Paranoid Android,Radiohead,1997,https://open.spotify.com/track/6LgJvl0Xdtc73RJ1mmpotq
"Right Here, Right Now",Fatboy Slim,1998,https://open.spotify.com/track/0qnqsfFYgBo0sPHM2JmfTq
Speed of Sound,Coldplay,2005,https://open.spotify.com/track/7clUVcSOtkNWa58Gw5RfD4
Hey Porsche,Nelly,2013,https://open.spotify.com/track/7rbWpbXVwY2DFrZpWYPtVj
Misery,Maroon 5,2010,https://open.spotify.com/track/5cSmRaAcl4JXXKNgtNJop7
And Then We Dance,Justice Crew,2010,https://open.spotify.com/track/3UTW5OaeplBh7i7GYqNhs7
"Another Brick in the Wall, Pt. 2",Pink Floyd,1979,https://open.spotify.com/track/4gMgiXfqyzZLMhsksGmbQV
Can You Feel It,Timomatic,2012,https://open.spotify.com/track/3DZx9yflOhQ3XZ17RkdEd1
To The End Of The Earth,Jessica Mauboy,2013,https://open.spotify.com/track/504prdCoPRtVRkA6yUNqb9
Sweet Caroline - Single Version,Neil Diamond,1996,https://open.spotify.com/track/6l7tK5SsMlN8a9ccgeIkpS
SOS,Rihanna,2006,https://open.spotify.com/track/4S5b3wwIXpVNvY2jeIQdKu
We'll Be Coming Back (feat. Example),"Calvin Harris, Example",2012,https://open.spotify.com/track/7B1Dl3tXqySkB8OPEwVvSu
All About That Bass,Meghan Trainor,2015,https://open.spotify.com/track/5jE48hhRu8E6zBDPRSkEq7
Lips Are Movin,Meghan Trainor,2015,https://open.spotify.com/track/6gj08XDlv9Duc2fPOxUmVD
Close To Me,The Cure,1985,https://open.spotify.com/track/4xiyq1iRdsxuU1BPUJ490Z
Dragostea Din Tei - Original Romanian Version,O-Zone,2009,https://open.spotify.com/track/09nxdcY2oYo57fJrG6CCCT
Be the One,Dua Lipa,2017,https://open.spotify.com/track/7FCfMXYTIiQ9b4hDYs4Iol
22,Taylor Swift,2012,https://open.spotify.com/track/5ybJm6GczjQOgTqmJ0BomP
Let's Dance - 1999 Remaster,David Bowie,1983,https://open.spotify.com/track/0F0MA0ns8oXwGw66B2BSXm
Rushing Back,"Flume, Vera Blue",2019,https://open.spotify.com/track/2zoNNEAyPK2OGDfajardlY
Love You Like A Love Song,Selena Gomez & The Scene,2011,https://open.spotify.com/track/3veFQzlEOTpcGGIbYPKdYq
Jump,"Tomsize, Simeon",2014,https://open.spotify.com/track/2Eq2jFUlVlzdGdXAVsoDng
What I Like About You,The Romantics,1980,https://open.spotify.com/track/4ebcE2SmkG7nplvzFAWRu7
Something,Lasgo,2001,https://open.spotify.com/track/3e9L9HiHKcfYLAga28Vmcf
Addicted To You,Avicii,2013,https://open.spotify.com/track/0xIVvRmjztR1AwuHrkhH41
Bring It All Back,S Club,1999,https://open.spotify.com/track/1fn6EFBBNiDVhL3DxDDJTD
First of the Year (Equinox),Skrillex,2011,https://open.spotify.com/track/0RlAFR09p2FjyTHOIanBrn
In The Air Tonight - 2015 Remastered,Phil Collins,1981,https://open.spotify.com/track/18AXbzPzBS8Y3AkgSxzJPb
"All I Do Is Win - Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross",DJ Khaled,2010,https://open.spotify.com/track/0RIHDrcRAXtUlnkvTYPW1a
POCKET ROCKET,Cochise,2021,https://open.spotify.com/track/1FKG2wgJ75wS9MFNVZFiWd
Fly Like An Eagle,Steve Miller Band,1976,https://open.spotify.com/track/3ng19WnMIqBZpaqcXV39Zf
Cosby Sweater,Hilltop Hoods,2014,https://open.spotify.com/track/0o4ymDquSJdsx1CwXyRSow
In My Head,Jason Derulo,2010,https://open.spotify.com/track/0TyOpxlWwDx98bjkIVHUgY
7 Years,Lukas Graham,2016,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
It Feels So Good,Sonique,2000,https://open.spotify.com/track/4Y8q64VnhD0vFYy9g2WFpi
Stuck In The Middle With You,Stealers Wheel,2009,https://open.spotify.com/track/1b7LMtXCXGc2EwOIplI35z
Long Day,Matchbox Twenty,1996,https://open.spotify.com/track/4r7im8h2DTRPvl25YfNyIT
Friday To Sunday,Justice Crew,2010,https://open.spotify.com/track/7GZ5lWqONRabYPdUO234aC
Mammoth,"MOGUAI, Dimitri Vegas & Like Mike",2013,https://open.spotify.com/track/5Mwjq2kUkIH57iJl7bXtlw
Hedwig's Theme,John Williams,2001,https://open.spotify.com/track/1n8NKQRg8LVHy7oUhUgbFF
Baby's on Fire,Die Antwoord,2012,https://open.spotify.com/track/7rmUSOrOLRBzI8Uq63qYcR
The Feeling,"Gabry Ponte, Henri PFR",2021,https://open.spotify.com/track/1Cx3Lpnto8xJ5dsfU3DPus
Take Me to Church,Hozier,2014,https://open.spotify.com/track/0aOluBqXYd0rFSCsgDyAWX
Shut Up and Dance,WALK THE MOON,2014,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA
God is a woman,Ariana Grande,2018,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
Beautiful People (feat. Khalid),"Ed Sheeran, Khalid",2019,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
Feel No Ways,Drake,2016,https://open.spotify.com/track/3cjF2OFRmip8spwZYQRKxP
Silhouettes - Original Radio Edit,Avicii,2012,https://open.spotify.com/track/1nO67wic65N413c11zKxM7
Greyhound,Swedish House Mafia,2012,https://open.spotify.com/track/0VffaI2jwQknRrxpECYHsF
"Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg, Wiz Khalifa, Bruno Mars",2011,https://open.spotify.com/track/5HQVUIKwCEXpe7JIHyY734
I Want You Back - Radio Edit,*NSYNC,2005,https://open.spotify.com/track/5AmRtvaQgLmZ7CxOxABq4Y
"Flashlight - From ""Pitch Perfect 2"" Soundtrack",Jessie J,2015,https://open.spotify.com/track/4rkUEE5iTzG0szS8k8QzqR
Hotel Room Service,Pitbull,2009,https://open.spotify.com/track/6dKJWmXeYPznzolqo4K6Uq
Saturday Night (feat. Ludacris),"Jessica Mauboy, Ludacris",2011,https://open.spotify.com/track/0tOuOkTosL8LbmGbiFHCZN
Everybody Hurts,R.E.M.,1992,https://open.spotify.com/track/6PypGyiu0Y2lCDBN1XZEnP
24K Magic,Bruno Mars,2016,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
Left Outside Alone,Anastacia,1999,https://open.spotify.com/track/2uNq2hKb4X1S30hBgoywOF
"Check It Out - Main, Explicit Version","will.i.am, Nicki Minaj",2011,https://open.spotify.com/track/0OICNgwAkxR9zF2dAhCsFP
Where Is My Mind?,Pixies,1997,https://open.spotify.com/track/0KzAbK6nItSqNh8q70tb0K
Loverboy,A-Wall,2019,https://open.spotify.com/track/3CboywxfJIgvHqi2FF4exb
Heaven Is a Place On Earth,Belinda Carlisle,1999,https://open.spotify.com/track/1mHeyTbqwMzT7iKIs3eY89
1998,Chet Faker,2014,https://open.spotify.com/track/0bhuLHsRskDlZOOofc20FO
Battle Scars (feat. Lupe Fiasco),"Guy Sebastian, Lupe Fiasco",2012,https://open.spotify.com/track/0J7385nYIZSg34lfJnFjT9
Run Away - Radio Edit,"Sunstroke Project, Olia Tira",2016,https://open.spotify.com/track/06bUBaq3PKtjc6DvHN6uiX
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,1979,https://open.spotify.com/track/3vkQ5DAB1qQMYO4Mr9zJN6
Just the Way You Are,Bruno Mars,2010,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
Awa Ni - The Knocks VIP Mix,"The Knocks, Kah-Lo",2019,https://open.spotify.com/track/4T7RJDb4u7XWMzfl5NE64I
Fluorescent Adolescent,Arctic Monkeys,2007,https://open.spotify.com/track/2x8evxqUlF0eRabbW2JBJd
Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk",2020,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
You should be sad,Halsey,2020,https://open.spotify.com/track/05NG7kwEZLhA2il9MiXEWT
Living for the Weekend,Hard-Fi,2005,https://open.spotify.com/track/0UgHw2x3Nnocajvx62noEn
You Make Me Feel... (feat. Sabi),"Cobra Starship, Sabi",2011,https://open.spotify.com/track/16Of7eeW44kt0a1M0nitHM
Burn,Ellie Goulding,2014,https://open.spotify.com/track/2GgxS8bUT5G25QJTsfSv0R
Smooth Operator,Sade,1984,https://open.spotify.com/track/7pLuEMFougkSHXrPBtNxTR
Waterfalls,TLC,1994,https://open.spotify.com/track/6qspW4YKycviDFjHBOaqUY
Breakeven,The Script,2008,https://open.spotify.com/track/38xWaVFKaxZlMFvzNff2aW
